Line,HTLC,BA,BD,BLC,CWAC,CWAL,DBH,HT,rootnum,rootnumbin,gall,rustbin,c5c6,density,lateWood.4,lignin,stiffnessTree
1081278,-16.92,4.991,0.06572,0.02414,9.074,-3.206,-0.9107,-15.78,-0.1275,0.01536,0.5437,0.1988,-0.9019,0.03554,-0.6174,0.1288,0.5257
1088664,-5.883,6.434,0.01458,0.1017,-16.18,-8.09,-0.09385,28,0.03516,-9.60E-05,0.04294,0.155,0.03564,0.7636,0.9404,0.1685,1.069
1095268,-4.029,-2.862,-0.03657,-0.02979,-6.836,-8.848,-0.8843,-28.8,0.2204,0.1012,0.247,0.008224,-0.4449,0.2493,0.1532,-0.2617,-0.5196
1093708,-0.4688,-1.452,-0.08561,-0.1794,63.02,28.98,1.694,47.57,0.1604,0.1662,-0.1358,-0.07071,0.3234,-0.8336,-0.01908,-0.06675,-0.3308
1083844,-4.056,1.148,0.1285,-0.2865,68.6,27.43,1.303,32.39,0.4497,0.1535,-0.1034,-0.01547,0.7064,-0.1823,-0.06801,-0.3794,-0.5432
1089612,-14.68,-8.083,0.1809,-0.1974,71.28,26.26,2.119,52.34,-0.02595,0.01684,0.4688,0.152,-1.442,0.3097,-0.1219,0.3544,-0.2459
1087932,-16.7,-0.2717,-0.06094,0.09739,-13.91,-10.47,-0.386,28.26,0.1479,0.08885,-0.1524,-0.09596,-0.2951,1.354,1.318,0.3957,0.7799
1088686,-10.45,3.805,0.01659,-0.01431,27.37,9.645,0.5165,18.28,0.3057,0.04159,0.3067,0.1556,-0.5818,0.8469,0.8921,0.2309,1.359
1084228,-0.3946,0.4146,0.01101,-0.04806,-18.95,-10.63,-1.032,-20.98,-0.1172,-0.1113,0.021864132,0.000104009,-0.07381,-0.1174,-0.5448,0.2071,-0.2181
1091092,-4.909,0.9407,-0.008636,0.2049,3.297,4.081,0.6323,52.28,0.08096,0.009382,0.2218,0.2091,-1.258,-0.06658,-0.1932,0.1601,0.23
1083348,31.98,2.506,-0.09771,0.5603,-19.14,-14.31,-0.5026,-2.187,0.1581,0.05101,-0.2125,-0.09376,0.3676,0.6386,0.2594,0.1357,0.02255
1091656,-7.637,-0.9359,-0.07726,-0.2194,-24.53,-11.67,-0.8308,-39.44,0.1988,0.05704,-0.041,-0.03194,0.38,0.6027,0.6252,-0.09505,0.6509
1090758,22.84,-4.668,-0.03851,0.5383,24.19,18.57,0.9667,64.06,0.515,0.1622,-0.7005,-0.3399,-0.3357,-0.1495,-0.5644,-0.04763,-0.296
1091204,-3.685,-0.5912,0.1206,-0.1142,21.35,9.017,0.5986,9.192,-0.042,-0.01138,0.2351,0.1198,-1.072,-0.3764,-0.509,0.5098,-0.01973
1085738,-17.59,5.839,-0.07148,0.06593,-14.95,1.921,-0.3478,35.68,0.2629,0.07686,-0.006945,0.02225,0.2713,1.158,1.124,-0.1969,0.2303
1087834,0.9099,-3.466,-0.104,0.2002,-18.6,-7.061,-0.3029,36.41,-0.05875,-0.02653,-0.06652,0.016,-0.1657,1.48,1.252,0.212,0.5542
1086654,21.04,-4.478,0.03868,0.3474,21.85,4.65,1.342,77.65,-0.03535,-0.0006913,0.2158,0.09951,-0.0353,-0.0187,-0.5206,0.1378,-0.2287
1087612,11.38,-2.346,-0.02902,0.07541,21.03,6.771,0.9905,84.98,0.2817,0.1325,-0.273,-0.1223,-0.293,-1.127,-0.3938,0.3665,0.06173
1085408,17.49,-0.8274,-0.2146,0.2297,-61.19,-22.31,-1.377,14.57,0.01659,0.004722,0.141,0.06962,-0.06389,1.075,0.8044,0.1402,0.4333
1081892,4.447,-0.6107,0.02475,0.2489,19.91,1.281,0.1431,6.768,-0.4648,-0.2184,0.021864132,0.000104009,-1.062,0.8173,0.2447,0.07707,0.1162
1092058,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,0.05531,0.04364,-0.2274,-0.1115,-0.6068,-0.7683,-0.476,0.3662,-0.1509
1087808,1.113,-2.165,-0.02621,-0.1947,4.229,1.361,-0.4707,35.49,-0.08824,-0.02653,0.04133,0.01679,0.4439,1.268,1.081,-0.0363,0.855
1084654,11.46,3.008,-0.08097,0.3324,-32.18,-7.909,0.3828,50.05,0.1106,0.09313,0.03241,-0.006359,0.4591,0.292,0.02745,-0.2186,0.07571
1091310,3.822,-5.496,0.001359,-0.204,18.09,22.07,0.7266,30.37,-0.1359,-0.03378,0.021864132,0.000104009,-0.5215,-0.3744,-0.7241,0.38,-0.03793
1089606,-11.03,-0.6018,0.3355,-0.3779,62.5,42.1,2.112,87.24,-0.07386,0.02642,0.3832,0.1516,-1.498,-0.01658,-0.3449,0.4208,-0.06788
1092224,-1.865,-1.859,-0.01901,0.2286,-12.53,-4.229,-0.0697,-22.79,0.2378,0.1148,0.3325,0.01776,0.262,0.3981,0.2753,-0.344,-1.199
1089374,-15.45,7.646,0.0816,-0.09883,-26.66,-9.194,-0.0762,-24.47,0.3575,0.1071,-0.1304,-0.02619,0.3697,0.001928,0.3747,-0.1613,-0.5638
1085648,0.7562,9.398,-0.07012,-0.1717,-78.1,-29.02,-1.91,-73.29,0.1848,0.007184,0.021864132,0.000104009,0.5002,1.056,0.9292,-0.1283,-0.06946
1082694,9.803,4.503,-0.04052,0.04055,-41.22,-13.99,-0.245,-7.318,-0.2838,-0.1186,-0.01643,-0.1429,-0.1954,-0.6072,-0.09487,-0.01318,-0.2228
1090922,-11.66,5.394,0.03989,-0.03838,-23.5,-14.27,-1.32,-26.11,-0.07714,0.02082,0.2895,0.1647,0.8073,0.07413,0.1012,-0.2029,0.2734
1091020,-15.81,2.928,0.03511,-0.04433,25.5,7.675,0.9861,-10.43,-0.05469,-0.04747,0.4828,0.2374,-1.037,0.08942,-0.01556,0.08382,0.393
1093256,-1.109,6.451,0.03983,-0.03692,-6.332,-1.408,0.2451,15.44,0.1282,-0.03209,0.021864132,0.000104009,-0.2631,0.2837,0.1737,0.1364,0.08469
1086314,-19.52,4.816,0.03853,-0.2408,-19.89,-12.11,-2.136,-71.47,0.2815,0.06659,-0.1106,0.0636,-0.2356,0.5038,0.728,0.2015,0.8732
1091720,-1.828,-2.303,-0.07118,0.1098,-7.94,-6.669,0.5232,55.03,0.227,0.05906,-0.5018,-0.2179,0.4158,0.5387,0.4991,0.05437,0.3886
1082310,-18.85,-3.186,0.05349,-0.1802,9.98,-0.2448,1.472,84.89,0.2068,0.102,0.1117,0.07466,0.5704,0.09592,0.356,-0.01775,0.6565
1092896,30.4,-0.3474,-0.006333,0.2858,10.4,-2.421,-0.05798,8.994,0.2087,0.06304,0.3289,0.06873,0.7386,-0.2798,-0.02231,0.2421,-0.1845
1091336,2.786,-2.539,0.1388,-0.09659,42.32,23.44,1.614,58.15,-0.143,-0.03331,0.021864132,0.000104009,-0.4922,-0.396,-0.4964,0.3359,-0.06306
1093408,2.012,3.371,-0.05408,-0.02066,-44.58,-25.58,-0.4692,5.08,0.02947,-0.02079,-0.01929,-0.04876,0.03146,-0.1431,0.6666,-0.2098,0.4298
1086440,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,-0.2688,-0.03594,-0.01078,-0.03813,-0.4653,0.4896,0.2297,-0.06583,-0.5341
1088826,1.439,-0.38,-0.05691,-0.002508,32.89,18.78,0.4348,13.81,0.2208,0.09125,0.1682,0.03585,-0.477,1.804,0.759,0.09999,1.377
1091162,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,-0.1554,-0.04528,0.6493,0.1881,-1.182,-0.08819,-0.01556,0.1383,0.5559
1089356,-17.93,3.78,-0.009977,-0.03081,-5.662,-5.971,0.7961,41.16,0.2131,0.02003,-0.3436,-0.1208,-0.101,0.03092,-0.05497,-0.0957,0.004922
1082004,2.338,-4.985,0.04267,0.01166,13.82,5.754,0.8095,50.17,0.1142,0.004298,-0.3933,-0.211,0.8088,-0.5815,-0.3086,0.245,-0.1749
1085036,16.92,-9.668,0.05049,0.1233,39.73,28.15,1.201,112.9,0.1706,0.07541,-0.1834,0.05411,-1.445,0.2577,-0.2998,0.4354,0.1481
1085876,18.16,-3.498,-0.09486,0.3335,-9.058,-8.912,-0.4133,-5.267,0.2372,0.0264,0.1047,-0.1077,0.02112,-0.5226,0.2264,-0.3996,-0.3338
1092076,9.051,-4.785,-0.04364,0.1357,3.826,11.25,1.117,64.08,0.2145,0.08519,-0.2211,-0.1113,-0.1199,-0.9405,-0.5377,0.3752,-0.2619
1083102,19.07,-2.253,0.09137,0.3008,9.077,6.448,0.5028,18.73,-0.4353,-0.2433,0.021864132,0.000104009,0.4608,-0.1128,-0.1394,0.2126,-0.93
1084710,0.7001,3.563,0.01256,0.349,-28.22,-14.1,-0.39,12.85,-0.08275,-0.02935,0.2901,0.1818,0.5081,0.4312,0.3775,-0.0385,0.5577
1090872,-15.3,3.99,0.04833,-0.6032,2.659,-6.687,-0.4647,22.19,-0.2017,-0.07772,0.021864132,0.000104009,0.1641,0.2524,0.2538,-0.2249,0.3388
1087830,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,-0.02637,-0.006231,0.187,0.1264,0.07306,1.26,1.271,0.06928,0.7537
1091732,16.17,2.213,-0.09297,0.2654,-33.63,-13.71,-1.028,-8.664,-0.09621,-0.05933,-0.4407,-0.1472,0.5367,0.6545,0.6728,-0.05555,0.6334
1088216,-14.86,-3.485,0.0251,-0.3948,20.82,20.73,0.5758,46.08,-0.02426,-0.03847,0.021864132,0.000104009,0.3746,0.3043,0.5564,-0.01876,0.6346
1087032,-6.268,2.844,0.1324,-0.2307,59.03,21.5,0.3924,-4.982,-0.0006811,0.04949,0.5466,0.162,0.7255,0.2531,0.2335,-0.2992,0.3478
1085034,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,-0.082,-0.04174,0.021864132,0.000104009,-1.445,0.2577,-0.2998,0.4354,0.1481
1082418,7.273,5.64,0.1448,-0.03684,30.88,4.114,1.433,58.21,0.2462,0.1333,0.1598,0.04868,-0.5051,0.2033,0.3199,-0.2951,0.01911
1091048,-4.22,-1.806,-0.001341,-0.2968,21.65,2.699,0.8096,42.31,0.005457,0.02628,0.2505,0.09868,-1.55,-0.08819,-0.1441,0.2758,0.4546
1081634,48.62,-2.243,-0.02606,0.8273,-4.322,13.01,1.471,79.95,0.04322,0.05087,0.5411,0.1053,0.3465,-0.4058,-0.2089,-0.5015,-0.7389
1091706,3.592,0.3749,-0.02579,-0.1984,-24.92,-6.067,0.3154,48.96,0.177,0.05189,-0.5157,-0.2215,0.589,0.5542,0.3459,-0.1521,0.2921
1082532,15.14,5.344,0.2238,0.5251,-4.296,2.424,0.6721,36.58,0.301,0.1574,0.1023,0.00114,-0.8194,0.178,0.04454,0.0502,-0.08528
1092354,-8.198,-2.16,-0.03205,-0.1737,4.757,-1.241,0.8464,32.42,0.2942,0.1522,0.01032,-0.07714,0.07287,0.5559,0.2435,-0.3367,-1.26
1086918,4.787,3.216,-0.01576,0.1671,13.15,-11.42,-0.4065,0.49,0.108,0.002856,-0.2392,-0.1035,0.4152,0.7012,0.3833,-0.253,-0.01184
1088634,-1.341,4.523,-0.036,-0.03247,-12.53,-4.777,-0.6147,28.5,0.2341,0.05502,0.04745,0.08174,-0.5907,0.7021,0.7252,0.2774,0.9127
1085462,18.24,1.769,-0.1379,0.3851,-40.03,-15.09,0.6092,56.1,-0.03629,0.02049,0.1836,0.03708,-0.4944,1.281,1.089,0.3489,0.1225
1085070,23.43,-10.72,0.01777,-0.05469,14.87,22.16,1.634,96.61,0.05313,0.01163,0.021864132,0.000104009,-1.701,0.4107,-0.209,0.5489,0.1125
1084624,21.66,5.184,-0.03083,0.4423,-39.25,-11.23,0.6564,48.94,-0.0259,0.001077,0.2497,0.1102,0.6907,0.7509,0.4738,-0.2664,0.3066
294374,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,-0.01232,-0.03003,-0.2345,-0.1298,-0.06612,-0.5417,-0.5693,0.3261,-0.5972
1091596,14.88,-2.102,0.08978,0.1876,38.67,32.68,1.549,43.56,0.2825,0.1049,0.9567,0.1434,-0.7212,0.09368,0.06874,-0.07815,-0.5477
1089212,-19.1,-2.125,-0.1138,-0.1209,-41.41,-9.982,-0.901,-32.87,0.1469,0.05173,-0.3238,-0.1092,0.3428,0.03441,0.1753,-0.1219,-0.2748
1082510,-6.903,1.819,0.06525,0.1553,0.5635,2.931,0.9274,53.34,0.01971,-0.02134,0.021864132,0.000104009,-0.5759,-0.01055,-0.09103,-0.1766,0.04762
1085486,34.17,-1.772,-0.1364,0.6444,-39.2,-14.19,0.8287,73.07,-0.03891,-0.02175,0.021864132,0.000104009,0.4885,0.9272,0.668,-0.0152,-0.1888
1089708,25.25,-2.38,0.104,0.3696,23.61,30.43,2.755,95.86,-0.0439,-0.03023,0.1471,0.02442,-0.7127,-0.008952,-0.5126,0.285,-0.4905
1081274,-7.972,4.83,0.06235,0.149,-3.035,-9.815,-0.553,-26.36,-0.1427,0.001277,0.9534,0.3114,-0.3951,-0.09283,-0.5064,0.04224,0.273
1088690,2.668,8.41,0.03769,0.1008,-2.655,-5.684,0.3461,18.51,0.008871,-0.002164,-0.05006,-0.0295,-0.1079,0.5124,0.6167,0.1257,0.7763
1088282,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,-0.03766,0.01827,0.021864132,0.000104009,0.7528,0.08009,0.3918,-0.1739,0.5079
1080352,31.14,2.753,-0.024,0.3218,0.9421,0.5837,0.6126,8.044,0.281,0.1308,-0.003431,-0.09682,-0.06513,0.254,-0.01999,0.365,-0.2615
1085708,-8.2,4.06,-0.01036,-0.1142,-9.823,-8.176,0.7133,67.99,0.1631,0.05333,-0.01273,0.03508,0.3542,1.443,1.173,-0.1248,-0.1733
1088876,12.9,-7.328,-0.06349,0.2256,9.703,10.36,0.9234,68.24,0.4081,0.1285,-0.1588,-0.05248,-0.0649,1.865,1.559,-0.07974,0.4678
1093506,4.2,1.418,-0.02413,0.1863,-50.95,-16.22,0.5724,6.982,0.01725,0.01003,0.1534,0.05276,-0.2452,-0.2815,0.5611,-0.1214,0.1574
1082148,0.3572,-1.635,-0.04404,-0.04121,1.86,5.781,0.7829,61.63,0.1599,0.06108,-0.3823,-0.2083,0.285,-0.722,-0.05593,0.3447,-0.2947
1091050,-2.909,2.021,0.05391,0.264,30.15,9.745,1.467,43.09,0.08475,0.01232,0.3819,0.1297,-1.592,-0.07093,0.2578,0.147,0.7966
1084618,12.86,3.107,-0.03686,0.01755,-26.38,-20.03,-0.4778,16.16,-0.03966,0.01093,0.08317,0.05584,0.02832,0.6317,0.2127,-0.05611,0.6362
1086982,10.67,2.554,-0.0938,0.2815,-36.44,-18.62,-1.356,-26.94,0.09887,0.05687,-0.2621,-0.1191,1.193,0.567,0.4901,-0.2242,-0.05957
1083812,11.57,0.3472,0.01494,0.1083,19.44,12,0.6239,24.41,0.152,0.1056,-0.1075,-0.05705,0.8555,-0.181,-0.1071,-0.0578,-0.5145
1094006,-7.067,0.9153,-0.03882,0.1388,-19.03,4.888,0.4811,28.24,0.2364,0.08665,-0.3016,0.05425,-0.3854,-0.6238,-0.1982,0.1738,0.4066
1084354,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,-0.03643,-0.01073,-0.3031,-0.1246,0.1774,-0.1174,-0.09401,0.02904,0.1732
1084296,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,-0.1196,-0.1124,0.021864132,0.000104009,0.1774,-0.1174,-0.09401,0.02904,0.1732
1087660,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,0.2129,0.1293,-0.2724,-0.1218,-0.4848,-0.834,-0.1933,0.3638,-0.06146
1080848,-16.79,3.871,0.06175,-0.557,17.13,-4.791,-0.8876,-49.25,-0.01368,0.05808,-0.2418,0.05873,1.015,0.409,-0.2692,-0.3071,-0.5509
1093812,2.006,1.345,-0.001842,0.6195,-15.66,2.032,0.8225,42.53,-0.5167,-0.2418,0.021864132,0.000104009,0.2226,0.428,0.5397,-0.001777,0.07489
1089646,-14.71,1.158,0.2567,-0.2636,38.44,22.03,2.099,67.94,0.1668,0.03562,0.32,0.08049,-1.255,-0.03025,-0.2483,0.3133,-0.03274
1089234,-13.32,-0.2674,-0.02901,-0.3954,20.6,2.696,-0.1736,24.8,0.07844,0.02303,-0.3312,-0.116,0.6258,0.07464,0.1281,-0.2758,-0.006608
1084298,3.116,-3.398,-0.0793,0.07182,-18.29,-8.525,-0.6653,29.63,0.003207,-0.0492,-0.2455,-0.05075,-0.05041,-0.3534,-0.05539,0.08025,0.1478
1081484,7.293,-0.7428,-0.02703,0.2523,-11.68,5.956,0.8022,76.08,0.265,0.112,-0.2825,-0.1408,0.3277,-0.4641,-0.106,0.3109,-0.7436
1084232,1.902,1.374,-0.06807,-0.2036,0.06373,-3.348,-1.083,8.304,0.06636,-0.00237,-0.4366,-0.1608,0.04708,0.03825,-0.0669,0.05151,0.1732
1086224,-10.4,8.75,-0.04261,-0.4743,-16.66,-11.06,-1.354,-34.94,0.1424,0.03539,-0.06654,0.1851,-0.2862,0.1954,0.4313,0.2129,0.99
1093784,4.805,-2.662,-0.03716,0.0643,23.6,14.06,0.4913,42.86,0.1997,0.1662,-0.126,-0.01006,0.385,-0.1942,0.1262,0.01598,-0.07542
1092036,40.17,-11.04,-0.02991,0.6522,40.18,13.6,1.482,86.74,0.07002,0.03766,-0.2065,-0.1069,-0.5448,-0.6634,-0.2957,0.344,-0.5702
1080222,22.98,-4.065,0.04459,0.2164,24.55,11.67,1.108,25.95,0.5782,0.1473,-0.001136,-0.0966,0.4838,0.3159,0.2141,0.05833,-0.2444
1085742,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,0.04632,-0.004726,0.2351,0.02247,0.3965,1.056,0.9292,-0.1352,-0.06946
1091226,-12.05,-2.275,0.09782,-0.1198,37.06,16.34,1.296,47.12,-0.1663,-0.04289,0.3411,0.137,-0.4862,-0.3744,-0.5361,0.3056,0.1428
294350,10.8,-3.382,-0.0997,0.2979,-20.41,-20.89,-0.2251,-12.17,0.3107,0.06907,-0.183,-0.04418,-0.4514,-0.5305,-0.824,0.1573,-0.9571
1085698,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,0.1978,0.06994,0.0391,0.05803,0.3965,1.056,0.9292,-0.1352,-0.06946
1088626,5.583,4.489,0.006689,0.2038,37.1,16.55,1.522,31.32,0.01184,0.004408,0.02989,0.06067,-0.6219,0.6054,0.7096,0.2605,0.5033
1091682,-0.05241,0.9565,-0.05922,0.0564,-27.93,-3.009,-0.04404,40.36,0.1494,0.05189,-0.5076,-0.2204,0.3003,0.7226,0.6638,0.0318,0.7453
1086256,-20.61,6.623,-0.08068,-0.1463,1.823,-15.3,-1.999,-42.45,-0.09865,0.02505,-0.1199,0.04846,-0.4048,0.07894,0.5624,0.2626,1.016
1095386,8.389,-4.22,-0.07539,0.3948,6.195,-5.728,-0.5521,-17.54,0.1132,0.06218,0.4812,0.1742,-0.4885,0.2493,-0.07014,-0.3163,-0.3789
1090770,29.71,-2.456,-0.002696,0.5755,20.88,15.13,1.871,60.84,0.5893,0.1697,-0.679,-0.3378,-0.9379,-0.3855,-0.5097,0.1685,-0.7839
1081598,7.398,0.8514,-0.06504,0.283,-26.22,-1.57,-0.9082,-12.94,0.2211,0.07523,-0.2926,-0.1378,0.6566,-0.6634,-0.2078,0.09819,0.131
1088666,-4.711,6.707,-0.001982,-0.2336,0.1228,-6.45,-0.3257,-19.02,0.1732,0.08273,-0.05398,-0.03292,-0.3064,0.998,0.911,0.2081,0.9595
1089220,-18.86,2.529,-0.0673,-0.1713,-33.66,-16.23,-0.5316,-3.122,0.231,0.04091,0.1694,0.1154,0.2452,-0.03754,0.08334,-0.2152,-0.1939
1085332,-7.587,-7.966,0.1672,-0.1618,69.96,47.43,2.404,80.65,-0.1999,-0.1172,0.021864132,0.000104009,0.04077,-0.4864,-0.9327,0.04826,-0.4653
1082134,-8.964,-4.828,0.1297,-0.1834,30.44,5.231,0.2333,-4.211,-0.006476,-0.05269,0.021864132,0.000104009,0.2027,-0.4411,0.08291,0.3904,-0.17
1084404,28.55,-0.3658,-0.05502,0.6345,1.971,-3.241,0.4842,16.03,0.3373,0.1085,0.4056,0.109,-0.2829,-0.1159,-0.3084,0.2927,0.03961
1091438,32.85,-3.037,0.08162,0.6136,4.504,6.765,1.204,54.01,0.4874,0.1451,0.5128,-0.04543,-0.7504,-0.07657,-0.2494,-0.08771,-0.8084
1085108,2.845,-5.807,0.09848,0.3377,72.64,31.77,1.466,9.754,0.2003,0.08394,-0.1655,-0.09166,-1.447,0.01749,-0.545,0.3543,0.2977
1092042,20.54,-8.148,-0.03686,0.4664,16.52,18.41,1.862,43.02,0.1932,0.1286,-0.04292,-0.06343,-0.4229,-0.8111,-0.3552,0.3042,-0.3558
1080428,7.05,-6.282,-0.139,0.03532,-11.79,-5.536,-1.603,-51.54,-0.1658,-0.1028,-0.3207,-0.1541,0.3931,-0.3313,0.06295,0.2811,-0.04606
1085712,-16.69,7.057,0.02666,-0.08162,-14.76,-11.15,-0.2445,53.14,0.3554,0.08843,0.02913,0.1635,0.3965,1.056,0.9292,-0.1352,-0.06946
